,X,Y,id,spp_com,spp_bot,numberof_st,dbh_range,dbh,date_plant,city,neighborhood,address,street,suffix,site,x_longitude,y_latitude,ObjectId
13277,-7911481.777000001,5215020.759,8222,Honeylocust,Gleditsia triacanthos,1,3-6in,3.0,--,--,Back Bay/Beacon Hill,57,West Cedar Street,,1,-71.07005,42.35975,9318
15421,-7911495.135,5205592.517,18291,"Sweetgum, Common",Liquidambar styraciflua,1,3-6in,3.0,--,Boston,Dorchester,50,Lindsey Street,,2,-71.07016999999999,42.297129999999996,18954
38916,-7920909.424,5212210.804,36893,"Linden, Littleleaf",Tilia cordata,1,18-24in,18.0,--,Boston,Allston-Brighton,186,Chestnut Hill Avenue,,1,-71.15474,42.34109,36684
36916,-7913638.48,5213089.475,37661,"Linden, Littleleaf",Tilia cordata,1,12-18in,16.0,--,Boston,Fenway/Longwood,1105,Boylston Street,,4,-71.08941999999999,42.346920000000004,39595
19753,-7915785.387999999,5211294.115,26834,Honeylocust,Gleditsia triacanthos,1,3-6in,5.0,--,Boston,Fenway/Longwood,44,Vining Street,,1,-71.10871,42.335,26645
26209,-7919671.552,5212515.483,36364,Elm,Ulmus species,1,6-12in,9.0,--,Boston,Allston-Brighton,1625,Commonwealth Avenue,,2,-71.14362,42.343109999999996,35273
11461,-7912349.444,5211681.7530000005,28425,Tulip Tree,Liriodendron tulipifera,1,0-3in,2.0,Spring 2024,Boston,South End,586,Massachusetts Avenue,,2,-71.07784000000001,42.337579999999996,27791
20865,-7919404.385,5198959.898,20657,"Pear, Callery",Pyrus calleryana,1,3-6in,5.0,--,Boston,Hyde Park,14,Dietz Road,,1,-71.14121999999999,42.253040000000006,20037
24629,-7908393.217,5211250.444,26283,"Elm, Accolade",Ulmus carpinifolia 'accolade',1,6-12in,8.0,--,Boston,South Boston,570,East 4th Street,,11,-71.0423,42.33471,26709
35671,-7917991.183999999,5199663.922,20363,"Linden, Littleleaf",Tilia cordata,1,12-18in,15.0,--,Boston,Hyde Park,52,Child Street,,1,-71.12852,42.25772,21986
31114,-7910415.336,5207986.37,19903,Honeylocust,Gleditsia triacanthos,1,12-18in,12.0,--,Boston,Dorchester,31,Sawyer Avenue,,1,-71.06047,42.31303,17762
11778,-7922638.216,5203595.593,29692,"Zelkova, Japanese",Zelkova serrata,1,0-3in,2.0,Spring 2023,Boston,West Roxbury,12,Durant Street,,1,-71.17027,42.28386,28749
3799,-7912753.045,5209001.953,23020,"Oak, Northern Red",Quercus rubra,7,0-3in,1.0,--,Boston,Roxbury,322,Warren Street,,1,-71.08147,42.31978,23481
39947,-7920682.333,5200838.965,12796,"Oak, Northern Red",Quercus rubra,1,18-24in,19.0,--,Boston,West Roxbury,5041,Washington Street,,1,-71.1527,42.26554,13285
27255,-7918991.39,5203518.554,31210,"Pear, Callery",Pyrus calleryana,1,6-12in,9.0,--,Boston,Roslindale,111,Walworth Street,,1,-71.13750999999999,42.28335,30847
15726,-7921705.359,5203348.076,13613,Apple/Crabapple,Malus species,1,3-6in,4.0,--,Boston,West Roxbury,37,Dent Street,,1,-71.16189,42.28222,12504
29853,-7908683.205,5211159.6389999995,26118,"Linden, Littleleaf",Tilia cordata,1,6-12in,11.0,--,Boston,South Boston,13,Linden Street,,1,-71.04491,42.334109999999995,26215
39604,-7911289.194,5217902.676,3981,"Linden, Littleleaf",Tilia cordata,1,18-24in,19.0,--,--,Charlestown,7,Eden Street,,1,-71.06832,42.37887,2989
24654,-7911826.867000001,5211695.749,33019,"Elm, Accolade",Ulmus carpinifolia 'accolade',1,6-12in,8.0,--,Boston,South End,21,Father Francis Gilday Street,,1,-71.07315,42.33767,33427
19484,-7912138.562000001,5211560.212,119,Honeylocust,Gleditsia triacanthos,1,3-6in,5.0,--,Boston,South End,46,East Springfield Street,,1,-71.07595,42.33677,613
35375,-7911359.77,5213483.502,7314,Honeylocust,Gleditsia triacanthos,1,12-18in,15.0,--,--,Central Boston,37,Winchester Street,,1,-71.06895,42.349540000000005,7267
32523,-7910065.793,5217456.326,5045,Honeylocust,Gleditsia triacanthos,1,12-18in,13.0,--,--,Charlestown,61,Tremont Street,,4,-71.05733000000001,42.37591,5528
30553,-7922786.271000001,5201664.228999999,12666,Tree of Heaven,Ailanthus altissima,1,6-12in,11.0,--,Boston,West Roxbury,1430,VFW Parkway,,2,-71.1716,42.27102,13213
22067,-7909876.103999999,5214069.453,3077,"Linden, Littleleaf",Tilia cordata,1,6-12in,6.0,--,--,Central Boston,176,Federal Street,,3,-71.05563000000001,42.353429999999996,3146
6056,-7910297.337,5214019.744,8488,Ginkgo,Ginkgo biloba,1,0-3in,2.0,--,--,Central Boston,19,Lincoln Street,,2,-71.05941,42.3531,9863
40913,-7911209.044,5206253.234,19216,Honeylocust,Gleditsia triacanthos,1,18-24in,21.0,--,Boston,Dorchester,94,Topliff Street,,1,-71.0676,42.301520000000004,18563
26735,-7915912.96,5209448.507,34954,"Linden, Littleleaf",Tilia cordata,1,6-12in,9.0,--,Boston,Jamaica Plain,126,Day Street,,1,-71.10986,42.32275,34213
11420,-7911248.006,5208813.762,537,Tulip Tree,Liriodendron tulipifera,1,0-3in,2.0,--,Boston,Dorchester,706,Dudley Street,-714,2,-71.06795,42.318529999999996,1531
23532,-7920372.864,5213327.908,23627,Honeylocust,Gleditsia triacanthos,1,6-12in,7.0,--,Boston,Allston-Brighton,736,Cambridge Street,,22,-71.14992,42.34851,24495
39333,-7918879.512999999,5205270.452,15456,"Sycamore, American",Platanus occidentalis,1,18-24in,18.0,--,Boston,West Roxbury,40,Buchanan Road,,4,-71.13651,42.294990000000006,15984
14558,-7918290.0770000005,5196104.483,36125,"Maple, Red",Acer rubrum,1,3-6in,3.0,--,Boston,Hyde Park,41,Clifford Street,,1,-71.13121,42.23405,35011
24928,-7916544.587,5207508.574,15803,Honeylocust,Gleditsia triacanthos,1,6-12in,8.0,--,Boston,Jamaica Plain,289,Centre Street,,2,-71.11553,42.30986,16290
29771,-7911718.887,5214543.211,777,"Linden, Littleleaf",Tilia cordata,1,6-12in,11.0,--,--,Back Bay/Beacon Hill,101,Chestnut Street,,1,-71.07218,42.35658,1779
6902,-7918811.609,5215316.188,25477,Honeylocust,Gleditsia triacanthos,1,0-3in,2.0,--,Boston,Allston-Brighton,1,Raymond Street,,1,-71.13589,42.361709999999995,25324
27303,-7914042.125,5210754.565,24741,"Planetree, London",Platanus x acerifolia,1,6-12in,9.0,--,Boston,Roxbury,2223,Malcolm X Boulevard,,1,-71.09305,42.33142,22672
4199,-7911335.948,5203669.022,35102,Apple/Crabapple,Malus species,1,0-3in,2.0,--,Boston,Dorchester,46,Burt Street,,1,-71.06874,42.28435,36067
24065,-7914859.21,5204559.241,21506,"Oak, Pin",Quercus palustris,1,6-12in,7.0,--,Boston,Mattapan,438,American Legion Highway,,34,-71.10039,42.290259999999996,22338
22903,-7909405.668,5211560.212,37450,"Planetree, London",Platanus x acerifolia,1,6-12in,6.0,--,Boston,South Boston,193,West Fifth Street,,1,-71.0514,42.33677,36894
17277,-7921982.544,5203482.743,10956,"Lilac, Japanese Tree",Syringa reticulata,1,3-6in,4.0,--,Boston,West Roxbury,97,Perham Street,,2,-71.16438000000001,42.28311,12097
37749,-7911742.2639999995,5208792.685,22723,Honeylocust,Gleditsia triacanthos,1,12-18in,17.0,--,Boston,Roxbury,2,Woodward Park Street,,1,-71.07239,42.31839,23134
9233,-7907538.271000001,5211530.69,26318,"Maple, Red 'October Glory'",Acer rubrum 'October Glory',1,0-3in,2.0,Fall 2023,Boston,South Boston,628,East 3rd Street,,1,-71.03461999999999,42.33657,27018
34449,-7917879.307999999,5207204.508,15508,"Maple, Norway",Acer platanoides,1,12-18in,14.0,--,Boston,Jamaica Plain,7,Mossdale Road,,1,-71.12751999999999,42.30784,15518
41094,-7917538.67,5197208.563,36066,"Linden, Littleleaf",Tilia cordata,1,18-24in,21.0,--,Boston,Hyde Park,18,Halsey Road,,1,-71.12446,42.2414,35035
18209,-7914117.822000001,5202251.255,21913,"Oak, Pin",Quercus palustris,1,3-6in,4.0,--,Boston,Mattapan,1443,Blue Hill Avenue,,1,-71.09373000000001,42.27493,20966
10500,-7908898.051,5203801.737,17699,"Oak, White",Quercus alba,1,0-3in,2.0,--,Boston,Dorchester,11,Hallet Street,,3,-71.04684,42.28523,18292
1570,-7911203.477999999,5211689.273,37854,Empty Pit/Planting Site,Empty Pit/Planting Site,0,,0.0,--,Boston,South End,650,Albany Street,A,2,-71.06755,42.33763,39763
40330,-7912545.991,5212780.108,6297,"Linden, Littleleaf",Tilia cordata,1,18-24in,20.0,--,--,Back Bay/Beacon Hill,21,Follen Street,,1,-71.07961,42.34487,6415
27795,-7910515.522999999,5215439.123,931,Honeylocust,Gleditsia triacanthos,1,6-12in,10.0,--,--,Central Boston,25,Hawkins Street,,1,-71.06137,42.36252,27
3931,-7922162.882,5203309.708000001,13563,Rose-of-Sharon,Hibiscus syriacus,1,0-3in,1.0,--,Boston,West Roxbury,78,Sanborn Avenue,,2,-71.166,42.28196,12579
31003,-7909360.584,5215890.801,4071,Honeylocust,Gleditsia triacanthos,1,12-18in,12.0,--,--,Central Boston,27,Union Wharf,,1,-71.05099,42.365520000000004,3846
37534,-7922231.9,5213398.55,24017,"Ash, Green",Fraxinus pennsylvanica,1,12-18in,17.0,--,Boston,Allston-Brighton,38,North Crescent Circuit,,1,-71.16662,42.34898,24963
23234,-7909811.539,5204878.421,16983,"Elm, Accolade",Ulmus carpinifolia 'accolade',1,6-12in,7.0,--,Boston,Dorchester,23,Spaulding Street,,1,-71.05505,42.292390000000005,15382
4506,-7920124.799,5205000.1389999995,14652,"Cherry, Sargent",Prunus sargentii,1,0-3in,2.0,Fall 2023,Boston,West Roxbury,14,Willowdean Avenue,,2,-71.14769,42.29319,13670
17385,-7913336.359,5212941.267,2542,"Linden, Littleleaf",Tilia cordata,1,3-6in,4.0,--,--,Back Bay/Beacon Hill,8,Saint Germain Street,,3,-71.08671,42.34594,3059
32493,-7909474.686000001,5215446.353999999,4046,Honeylocust,Gleditsia triacanthos,1,12-18in,13.0,--,--,Central Boston,166,Commercial Street,,4,-71.05202,42.36257,3906
40298,-7910139.262999999,5208943.374,44751,"Honeylocust, Thornless",Gleditsia triacanthos inermis,1,18-24in,20.0,--,Boston,Dorchester,27,Edison Green,,1,-71.05799,42.319390000000006,43900
3308,-7921809.999,5200931.928,12742,"Cherry, Okame",Prunus 'Okame',1,0-3in,1.0,--,Boston,West Roxbury,470,Centre Street,,1,-71.16283,42.26616,13196
43770,-7917828.101,5213613.041,36495,"Oak, Northern Red",Quercus rubra,1,>30in,32.0,--,Boston,Allston-Brighton,1146,Commonwealth Avenue,,6,-71.12706,42.3504,35388
2132,-7912290.17,5212348.731000001,41626,Empty Pit/Planting Site,Empty Pit/Planting Site,0,,0.0,--,Boston,South End,134,West Newton Street,,1,-71.07731,42.342009999999995,41624
6708,-7910664.692000001,5209624.364,9702,Honeylocust,Gleditsia triacanthos,1,0-3in,2.0,--,Boston,Dorchester,55,Enterprise Street,,6,-71.06271,42.32391,7620
34968,-7917270.947000001,5204828.459,33985,"Planetree, London",Platanus x acerifolia,1,12-18in,14.0,--,Boston,Roslindale,4012,Washington Street,,1,-71.12206,42.29205,34941
4500,-7905375.231000001,5218838.909,44794,"Cherry, Okame",Prunus 'Okame',1,0-3in,2.0,Spring 2024,Boston,East Boston,155,Addison Street,,2,-71.0152,42.385090000000005,44016
8188,-7908222.068,5211435.155,43026,"Linden, Silver",Tilia tomentosa,1,0-3in,2.0,Spring 2023,Boston,South Boston,100,Emerson Street,,1,-71.04075999999999,42.33594,43428
19146,-7912564.915,5212520.603999999,10865,"Elm, Accolade",Ulmus carpinifolia 'accolade',1,3-6in,5.0,--,Boston,South End,66,West Rutland Square,,3,-71.07978,42.34315,11832
30718,-7919138.331,5214002.421,23694,"Ash, Green",Fraxinus pennsylvanica,1,12-18in,12.0,--,Boston,Allston-Brighton,524,Cambridge Street,,1,-71.13883,42.352990000000005,24592
330,-7915680.748,5201963.755,21372,Empty Pit/Planting Site,Empty Pit/Planting Site,0,,0.0,--,Boston,Mattapan,590,Cummins highway,,1,-71.10777,42.27301,21847
17212,-7914346.833,5212805.499,44708,Honeylocust,Gleditsia triacanthos,1,3-6in,4.0,--,Boston,Fenway/Longwood,1260,Boylston Street,,4,-71.09579000000001,42.345040000000004,43811
37331,-7907956.288,5212606.904,25091,"Pear, Callery",Pyrus calleryana,1,12-18in,16.0,--,Boston,South Boston,653,Summer Street,,4,-71.03838,42.343720000000005,25058
5260,-7916862.961,5204158.3610000005,32081,"Crabapple, Royal Raindrops",Malus 'JFS-KW5',1,0-3in,2.0,--,Boston,Jamaica Plain,384,Hyde Park Avenue,,1,-71.11839,42.2876,30417
22629,-7914019.8610000005,5205298.595,32265,"Oak, Pin",Quercus palustris,1,6-12in,6.0,--,Boston,Dorchester,150,American Legion Highway,,3,-71.09285,42.29518,31902
15331,-7917519.746,5215147.757,37288,Serviceberry,Amelanchier species,1,3-6in,3.0,--,Boston,Allston-Brighton,37,Windom Street,,1,-71.12429,42.36059,36675
41186,-7912013.884,5206705.228,18940,"Maple, Norway",Acer platanoides,1,18-24in,21.0,--,Boston,Dorchester,120,Olney Street,,1,-71.07483,42.304520000000004,19766
4303,-7917761.308999999,5207351.271000001,15505,"Cherry, Autumnalis",Prunus subhirtella 'Autumnalis',1,0-3in,2.0,--,Boston,Jamaica Plain,35,Mossdale Road,,1,-71.12646,42.308820000000004,15506
32306,-7904488.686000001,5219323.541999999,5591,"Basswood, American",Tilia americana,1,12-18in,13.0,--,--,East Boston,52,Ashley Street,,2,-71.00723,42.3883,5671
16153,-7920840.406,5213435.302,24536,"Elm, Accolade",Ulmus carpinifolia 'accolade',1,3-6in,4.0,--,Boston,Allston-Brighton,373,Washington Street,,1,-71.15411999999999,42.34922,23924
15129,-7917096.732000001,5198238.933,36024,"Oak, Willow",Quercus phellos,1,3-6in,3.0,--,Boston,Hyde Park,144,Dana Avenue,,1,-71.12049,42.24825,35990
42339,-7911369.344,5214994.847,33254,"Basswood, American",Tilia americana,1,24-30in,24.0,--,--,Back Bay/Beacon Hill,71,Revere Street,,1,-71.06904,42.35957,32697
23025,-7908679.865,5211453.742,26651,"Zelkova, Japanese",Zelkova serrata,1,6-12in,6.0,--,Boston,South Boston,67,Dorchester Street,,1,-71.04488,42.336059999999996,26253
24523,-7910005.68,5208535.123,35733,"Basswood, American",Tilia americana,1,6-12in,8.0,--,Boston,Dorchester,999,Dorchester Avenue,,1,-71.05679,42.31668,35733
22618,-7915176.471,5200540.076,20093,"Oak, Pin",Quercus palustris,1,6-12in,6.0,--,Boston,Hyde Park,745,River Street,,3,-71.10324,42.26355,21320
38488,-7915054.018999999,5211172.288,24467,"Zelkova, Japanese",Zelkova serrata,1,12-18in,17.0,--,Boston,Mission Hill,21,Worthington Street,,1,-71.10214,42.33419,23892
20770,-7914919.323,5200832.647,35842,"Oak, Swamp White",Quercus bicolor,1,3-6in,5.0,--,Boston,Hyde Park,22,Caton Street,,1,-71.10093,42.2655,35804
30055,-7906922.13,5210975.32,25175,"Maple, Norway",Acer platanoides,1,6-12in,11.0,--,Boston,South Boston,152,O Street,,1,-71.02909,42.33289,25067
41031,-7916325.288,5204247.594,16036,"Linden, Littleleaf",Tilia cordata,1,18-24in,21.0,--,Boston,Jamaica Plain,67,Meyer Street,,1,-71.11355999999999,42.28819,16571
44107,-7907856.101,5210514.54,25508,"Elm, American",Ulmus americana,1,>30in,44.0,--,Boston,South Boston,415,K Street,,1,-71.03748,42.32983,25405
11107,-7921764.357999999,5204624.098999999,14090,"Serviceberry, Downy",Amelanchier arborea,1,0-3in,2.0,--,Boston,West Roxbury,48,Dwinell Street,,1,-71.16242,42.2907,13007
13299,-7915862.867000001,5203931.143,11455,Honeylocust,Gleditsia triacanthos,1,3-6in,3.0,--,Boston,Roslindale,596,American Legion Highway,,2,-71.10941,42.28609,10960
42539,-7921720.943,5214197.795,31568,"Maple, Norway",Acer platanoides,1,24-30in,24.0,--,Boston,Allston-Brighton,52,Hobson Street,,1,-71.16203,42.354279999999996,32205
18036,-7916701.5479999995,5207495.328,15672,"Maple, Sugar",Acer saccharum,1,3-6in,4.0,--,Boston,Jamaica Plain,14,Holbrook Street,,1,-71.11694,42.30977,16213
16957,-7915229.2360000005,5211209.634,24417,Honeylocust,Gleditsia triacanthos,1,3-6in,4.0,--,Boston,Mission Hill,708,Huntington Avenue,,1,-71.10370999999999,42.33444,23942
11708,-7916873.425,5207374.302,15683,"Zelkova, Japanese",Zelkova serrata,1,0-3in,2.0,Spring 2023,Boston,Jamaica Plain,1,Aldworth Street,,1,-71.11848,42.30897,16164
3609,-7910384.166,5204815.969,16775,"Lilac, Japanese Tree",Syringa reticulata,2,0-3in,1.0,--,Boston,Dorchester,8,Florida Street,,5,-71.06019,42.29197,15172
12711,-7914985.446,5213134.811000001,29740,"Elm, Chinese",Ulmus parvifolia,1,3-6in,3.0,--,Boston,Fenway/Longwood,775,Beacon St,,4,-71.10152,42.347229999999996,28984
1864,-7910566.73,5209688.053,40777,Empty Pit/Planting Site,Empty Pit/Planting Site,0,,0.0,--,Boston,Dorchester,4,Lucy Street,,1,-71.06183,42.32434,40418
39859,-7908056.031,5210746.132,25665,"Maple, Norway",Acer platanoides,1,18-24in,19.0,--,Boston,South Boston,557,East 8th Street,,1,-71.03928,42.33136,25596
42640,-7918130.89,5202801.154,11777,"Basswood, American",Tilia americana,1,24-30in,25.0,--,Boston,Roslindale,10,Malverna Road,,1,-71.12978000000001,42.27858,11592
4579,-7910284.962,5205347.767,42445,"Cherry, Yoshino",Prunus x yedoensis,1,0-3in,2.0,Spring 2021,Boston,Dorchester,51,Dix Street,,1,-71.0593,42.29551,41843
22384,-7907511.01,5210634.702,10016,"Maple, Red",Acer rubrum,1,6-12in,6.0,--,Boston,South Boston,115,Marine Road,,1,-71.03438,42.33062,7938
13160,-7910761.094,5217973.956,3955,Honeylocust,Gleditsia triacanthos,1,3-6in,3.0,--,--,Charlestown,236,Bunker Hill Street,,1,-71.06358,42.37934,3990
23768,-7906937.715,5215700.967,38190,"Maple, Freeman",Acer x freemanii,1,6-12in,7.0,--,--,East Boston,541,Sumner Street,b,1,-71.02923,42.364259999999994,37567
37216,-7913196.097,5210887.379,9816,"Oak, Northern Red",Quercus rubra,1,12-18in,16.0,--,Boston,Roxbury,22,Estabrook Road,,3,-71.08545,42.3323,7759
39134,-7915106.896000001,5207218.055,15846,"Maple, Norway 'Crimson King'",Acer platanoides 'Crimson King',1,18-24in,18.0,--,Boston,Jamaica Plain,113,Forest Hills Street,,1,-71.10262,42.30793,16313
14737,-7910934.085,5215112.656,1608,"Oak, Pin",Quercus palustris,1,3-6in,3.0,--,--,Back Bay/Beacon Hill,56,Joy Street,,2,-71.06513000000001,42.36036,2107
25083,-7912389.031,5208539.763,36411,Honeylocust,Gleditsia triacanthos,1,6-12in,8.0,--,Boston,Roxbury,229,Blue Hill Avenue,,1,-71.0782,42.31671,35300
5954,-7910885.103999999,5205463.991,40474,"Elm, Valley Forge",Ulmus americana 'Valley Forge',1,0-3in,2.0,Fall 2021,Boston,Dorchester,14,Upland Avenue,,3,-71.06469,42.296279999999996,40208
25088,-7916736.057,5213776.021000001,37445,Honeylocust,Gleditsia triacanthos,1,6-12in,8.0,--,Boston,Allston-Brighton,915,Commonwealth Avenue,,9,-71.11725,42.35148,36880
42643,-7914939.36,5212086.857,27139,"Basswood, American",Tilia americana,1,24-30in,25.0,--,Boston,Fenway/Longwood,45,Avenue Louis Pasteur,,11,-71.10110999999999,42.340270000000004,27373
23370,-7912204.908,5202231.847,21736,Goldenrain Tree,Koelreuteria paniculata,1,6-12in,7.0,--,Boston,Mattapan,3,Paula Road,,5,-71.07655,42.2748,20679
273,-7911663.895,5213285.432,18045,Empty Pit/Planting Site,Empty Pit/Planting Site,0,,0.0,--,--,Central Boston,210,Columbus Avenue,,2,-71.07169,42.34822,18857
15388,-7911949.319,5212452.829,2120,"Sweetgum, Common",Liquidambar styraciflua,1,3-6in,3.0,--,Boston,South End,619,Tremont Street,,1,-71.07425,42.3427,1195
43389,-7916480.022000001,5203402.996,11379,"Oak, Northern Red",Quercus rubra,1,24-30in,28.0,--,Boston,Roslindale,745,American Legion Highway,,1,-71.11495,42.282579999999996,10888
43812,-7917328.276000001,5213818.65,26467,"Elm, American",Ulmus americana,1,>30in,33.0,--,Boston,Allston-Brighton,1043,Commonwealth Avenue,,2,-71.12257,42.35176,27262
37889,-7910104.755,5203286.085,17776,"Linden, Littleleaf",Tilia cordata,1,12-18in,17.0,--,Boston,Dorchester,12,Milwood Street,,2,-71.05768,42.2818,18568
35504,-7912474.747,5210809.828,26966,Honeylocust,Gleditsia triacanthos,1,12-18in,15.0,--,Boston,Roxbury,1218,Melnea Cass Boulevard,,8,-71.07897,42.331790000000005,27263
35356,-7909614.504,5217640.469,6081,Honeylocust,Gleditsia triacanthos,1,12-18in,15.0,--,--,Charlestown,60,4th Avenue,,1,-71.05328,42.37713,5718
12123,-7914462.356000001,5212403.58,12458,Apple/Crabapple,Malus species,1,3-6in,3.0,--,Boston,Fenway/Longwood,129,Jersey Street,,1,-71.09682,42.34237,12211
39529,-7910568.957,5207340.433,18705,Honeylocust,Gleditsia triacanthos,1,18-24in,19.0,--,Boston,Dorchester,36,Church Street,,1,-71.06185,42.30874,18687
322,-7914647.622,5209013.856000001,22233,Empty Pit/Planting Site,Empty Pit/Planting Site,0,,0.0,--,Boston,Jamaica Plain,1785,Columbus Avenue,,3,-71.09849,42.31986,21481
7193,-7920864.897000001,5204136.843,34642,"Honeylocust, Thornless",Gleditsia triacanthos inermis,1,0-3in,2.0,Fall 2023,Boston,West Roxbury,20,Maple Street,,1,-71.15434,42.287459999999996,33738
35703,-7913283.482999999,5210406.727,32605,"Linden, Littleleaf",Tilia cordata,1,12-18in,15.0,--,Boston,Roxbury,2,Dudley Street,,4,-71.08624,42.32911,33098
5757,-7907926.232000001,5218033.18,4429,"Elm, Hybrid",Ulmus x,1,0-3in,2.0,Spring 2024,--,East Boston,23,Monmouth Street,,1,-71.03811,42.379740000000005,4199
42823,-7919102.709,5213408.943,23640,"Oak, Northern Red",Quercus rubra,1,24-30in,25.0,--,Boston,Allston-Brighton,1407,Commonwealth Avenue,,1,-71.13851,42.34904,24542
16270,-7909238.688999999,5213544.506,25125,"Elm, American",Ulmus americana,1,3-6in,4.0,--,Boston,South Boston,285,Summer Street,,1,-71.0499,42.34995,25096
4162,-7919467.837,5205018.527,29749,Apple/Crabapple,Malus species,1,0-3in,2.0,--,Boston,West Roxbury,212,Weld Street,,1,-71.14179,42.29332,29010
29533,-7911777.886,5213473.26,7068,Honeylocust,Gleditsia triacanthos,1,6-12in,11.0,--,--,Back Bay/Beacon Hill,180,Berkeley Street,,5,-71.07271,42.349470000000004,7311
13058,-7911055.926,5216227.041,42831,Hardy Rubber Tree,Eucommia ulmoides,1,3-6in,3.0,--,--,Central Boston,165,Nashua Street,,5,-71.06622,42.36775,40963
33468,-7907309.522000001,5217375.557,329,"Planetree, London",Platanus x acerifolia,1,12-18in,13.0,--,--,East Boston,220,Chelsea Street,a,1,-71.03256999999999,42.375370000000004,823
9027,-7910045.755,5215450.874,33282,"Maple, Red",Acer rubrum,1,0-3in,2.0,--,--,Central Boston,9,John F Fitzgerald Surface Road,,3,-71.05715,42.3626,32680
14856,-7912763.732000001,5212702.241,33154,"Oak, Pin",Quercus palustris,1,3-6in,3.0,--,--,Back Bay/Beacon Hill,117,Saint Botolph Street,,1,-71.08157,42.34435,32584
2111,-7910429.742000001,5207664.345,42165,Empty Pit/Planting Site,Empty Pit/Planting Site,0,,0.0,--,Boston,Dorchester,10,Dewolf Street,,1,-71.0606,42.31089,41451
41011,-7905013.001,5218800.563999999,15084,"Linden, Littleleaf",Tilia cordata,1,18-24in,21.0,--,--,East Boston,727,Bennington Street,,2,-71.01194,42.38483,14049
39921,-7911135.573,5202517.55,9506,"Maple, Red",Acer rubrum,1,18-24in,19.0,--,Boston,Mattapan,2165,Dorchester Avenue,,1,-71.06694,42.2767,9353
23316,-7911571.945,5214940.162,33226,"Elm, Frontier",Ulmus x 'Frontier',1,6-12in,7.0,--,--,Back Bay/Beacon Hill,120,Charles Street,,1,-71.07086,42.35921,32635
43853,-7920581.477000001,5203116.214,13244,"Oak, Pin",Quercus palustris,1,>30in,33.0,--,Boston,West Roxbury,12,Danville Street,,1,-71.15179,42.28067,14545
37687,-7910696.529,5215150.62,8125,Honeylocust,Gleditsia triacanthos,1,12-18in,17.0,--,--,Back Bay/Beacon Hill,21,Bowdoin Street,,1,-71.063,42.36061,9177
17721,-7919947.067000001,5203084.015,13261,"Maple, Norway",Acer platanoides,1,3-6in,4.0,--,Boston,West Roxbury,198,Stratford Street,,1,-71.1461,42.28046,14647
24978,-7908293.586,5211020.044,25815,Honeylocust,Gleditsia triacanthos,1,6-12in,8.0,--,Boston,South Boston,136,H Street,,3,-71.04141,42.33318,25835
7908,-7911015.347999999,5213049.26,11134,"Linden, Littleleaf",Tilia cordata,1,0-3in,2.0,--,Boston,South End,100,Shawmut Avenue,,1,-71.06586,42.34666,10576
33639,-7911756.7360000005,5213080.287,1669,"Ash, Green",Fraxinus pennsylvanica,1,12-18in,14.0,--,Boston,South End,77,Chandler Street,,2,-71.07252,42.34686,2379
7515,-7912480.312000001,5202267.353,41002,"Hornbeam, American",Carpinus caroliniana,1,0-3in,2.0,Spring 2021,Boston,Mattapan,35,Freeland Street,,1,-71.07902,42.27503,42200
9986,-7908050.318,5217501.038,42328,"Oak, Pin",Quercus palustris,1,0-3in,2.0,Spring 2023,Boston,East Boston,252,Meridian Street,,1,-71.03922,42.37621,41703
27036,-7912395.71,5202289.1680000005,15208,"Maple, Sugar",Acer saccharum,1,6-12in,9.0,--,Boston,Mattapan,49,Maryknoll Street,,1,-71.07826,42.27518,15725
13371,-7913536.734,5204999.566000001,18758,Honeylocust,Gleditsia triacanthos,1,3-6in,3.0,--,Boston,Dorchester,917,Blue Hill Avenue,,2,-71.08851,42.29319,19349
35039,-7909322.179,5212067.278,26721,"Zelkova, Japanese",Zelkova serrata,1,12-18in,14.0,--,Boston,South Boston,150,West 3rd Street,,1,-71.05065,42.340140000000005,26540
26447,-7910246.13,5215381.572,8821,Honeylocust,Gleditsia triacanthos,1,6-12in,9.0,--,--,Central Boston,15,Sudbury Street,,5,-71.05895,42.362140000000004,8642
13005,-7913447.679,5211195.78,141,"Hackberry, Northern",Celtis occidentalis,1,3-6in,3.0,--,Boston,Roxbury,159,Ruggles Street,,3,-71.08771,42.33435,635
11189,-7913159.3610000005,5210765.557,9765,Sweetgum 'Happidaze',Liquidambar styraciflua 'Happdell',1,0-3in,2.0,Spring 2024,Boston,Roxbury,158,Dewitt Drive,,2,-71.08511999999999,42.33149,7744
30362,-7913257.99,5212990.067,7016,"Pear, Callery",Pyrus calleryana,1,6-12in,11.0,--,--,Back Bay/Beacon Hill,11,Belvidere Street,,1,-71.08601,42.34626,6740
25573,-7912857.686000001,5209470.941000001,9611,"Oak, Northern Red",Quercus rubra,1,6-12in,8.0,--,Boston,Roxbury,230,Warren Street,,1,-71.08241,42.3229,7585
36930,-7919617.005,5204085.079,42015,"Maple, Freeman",Acer x freemanii,1,12-18in,16.0,--,Boston,Roslindale,128,Tyndale Street,,1,-71.14313,42.28711,41252
25172,-7910894.01,5217014.819,9023,"Linden, Littleleaf",Tilia cordata,1,6-12in,8.0,--,--,Charlestown,30,Washington Street,,1,-71.06477,42.37298,8789
